carrier,chargeType,port,containerType,freeDays,dayFrom,dayTo,rate,currency,notes
MSC,storage,Gdansk,40DRY,7,15,30,34,EUR,
MSC,storage,Gdansk,40DRY,7,31,60,50,EUR,
MSC,storage,Gdansk,40DRY,7,61,90,100,EUR,
MSC,storage,Gdansk,40DRY,7,91,Infinity,180,EUR,
MSC,storage,Gdynia,20DRY,10,11,14,8,EUR,
MSC,storage,Gdynia,20DRY,10,15,30,10.5,EUR,
MSC,storage,Gdynia,20DRY,10,31,60,21,EUR,
MSC,storage,Gdynia,20DRY,10,61,90,37,EUR,
MSC,storage,Gdynia,20DRY,10,91,Infinity,74,EUR,
MSC,storage,Gdynia,40DRY,10,11,14,16,EUR,
MSC,storage,Gdynia,40DRY,10,15,30,21,EUR,
MSC,storage,Gdynia,40DRY,10,31,60,42,EUR,
MSC,storage,Gdynia,40DRY,10,61,90,74,EUR,
MSC,storage,Gdynia,40DRY,10,91,Infinity,148,EUR,
ONE,demurrage,Gdansk,20DRY,7,8,14,35,EUR,
ONE,demurrage,Gdansk,20DRY,7,15,Infinity,55,EUR,
ONE,demurrage,Gdansk,40DRY,7,8,14,55,EUR,
ONE,demurrage,Gdansk,40DRY,7,15,Infinity,95,EUR,
ONE,demurrage,Gdynia,20DRY,7,8,14,35,EUR,
ONE,demurrage,Gdynia,20DRY,7,15,Infinity,55,EUR,
ONE,demurrage,Gdynia,40DRY,7,8,14,55,EUR,
ONE,demurrage,Gdynia,40DRY,7,15,Infinity,95,EUR,
ONE,detention,Gdansk,20DRY,10,11,17,26,EUR,
ONE,detention,Gdansk,20DRY,10,18,Infinity,42,EUR,
ONE,detention,Gdansk,40DRY,10,11,17,42,EUR,
ONE,detention,Gdansk,40DRY,10,18,Infinity,73,EUR,
ONE,detention,Gdynia,20DRY,10,11,17,26,EUR,
ONE,detention,Gdynia,20DRY,10,18,Infinity,42,EUR,
ONE,detention,Gdynia,40DRY,10,11,17,42,EUR,
ONE,detention,Gdynia,40DRY,10,18,Infinity,73,EUR,
OOCL,demdet,Gdansk,20DRY,10,11,17,50,EUR,
OOCL,demdet,Gdansk,20DRY,10,18,Infinity,75,EUR,
OOCL,demdet,Gdansk,40DRY,10,11,17,100,EUR,
OOCL,demdet,Gdansk,40DRY,10,18,Infinity,150,EUR,
OOCL,demdet,Gdynia,20DRY,10,11,17,50,EUR,
OOCL,demdet,Gdynia,20DRY,10,18,Infinity,75,EUR,
OOCL,demdet,Gdynia,40DRY,10,11,17,100,EUR,
OOCL,demdet,Gdynia,40DRY,10,18,Infinity,150,EUR,
OOCL,storage,Gdansk,20DRY,5,6,14,7,EUR,
OOCL,storage,Gdansk,20DRY,5,15,30,13,EUR,
OOCL,storage,Gdansk,20DRY,5,31,37,24,EUR,
OOCL,storage,Gdansk,20DRY,5,38,103,46,EUR,
OOCL,storage,Gdansk,20DRY,5,104,Infinity,72,EUR,
OOCL,storage,Gdansk,40DRY,5,6,14,14,EUR,
OOCL,storage,Gdansk,40DRY,5,15,30,26,EUR,
OOCL,storage,Gdansk,40DRY,5,31,37,46,EUR,
OOCL,storage,Gdansk,40DRY,5,38,103,92,EUR,
OOCL,storage,Gdansk,40DRY,5,104,Infinity,144,EUR,
OOCL,storage,Gdynia,20DRY,7,8,14,3,EUR,
OOCL,storage,Gdynia,20DRY,7,15,21,6,EUR,
OOCL,storage,Gdynia,20DRY,7,22,28,8,EUR,
OOCL,storage,Gdynia,20DRY,7,29,90,22,EUR,
OOCL,storage,Gdynia,20DRY,7,91,Infinity,44,EUR,
OOCL,storage,Gdynia,40DRY,7,8,14,6,EUR,
OOCL,storage,Gdynia,40DRY,7,15,21,12,EUR,
OOCL,storage,Gdynia,40DRY,7,22,28,15,EUR,
OOCL,storage,Gdynia,40DRY,7,29,90,38,EUR,
OOCL,storage,Gdynia,40DRY,7,91,Infinity,77,EUR,
YANG,demurrage,Gdansk,20DRY,10,11,14,60,EUR,
YANG,demurrage,Gdansk,20DRY,10,15,Infinity,70,EUR,
YANG,demurrage,Gdansk,40DRY,10,11,14,70,EUR,
YANG,demurrage,Gdansk,40DRY,10,15,Infinity,90,EUR,
YANG,demurrage,Gdynia,20DRY,10,11,14,60,EUR,
YANG,demurrage,Gdynia,20DRY,10,15,Infinity,70,EUR,
YANG,demurrage,Gdynia,40DRY,10,11,14,70,EUR,
YANG,demurrage,Gdynia,40DRY,10,15,Infinity,90,EUR,
